Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'Lance Stephenson',2.5,1.1,1.3,0.1,0.5,0.393576826,0
b'Lance Thomas',2.5,0.3,1.9,0.1,0.2,0.558035714,0
b'Larry Hughes',15,2.5,4.3,0.3,1.4,0.468047928,0
b'Lawrence Funderburke',8.9,0.6,4.7,0.5,0.5,0.589872747,0
b'Leandro Barbosa',7,2,2.1,0.1,0.5,0.575279421,0
b'LeBron James',27.2,7.2,7.4,0.7,2.2,0.552396426,1
b'Linas Kleiza',7.6,0.6,3.4,0.2,0.4,0.563129816,0
b'Lou Williams',4.3,1.8,1.1,0,0.4,0.516826923,0
b'Luc Mbah a Moute',6.2,1.1,5.5,0.5,0.8,0.526137135,0
b'Luis Scola',12.7,1.5,8.8,0.1,0.8,0.573933478,0
b'Luke Babbitt',5.1,0.4,2.4,0.1,0.3,0.564159292,0
b'Luke Ridnour',10,5.9,2.5,0.3,1.1,0.501605136,0
b'Luke Walton',3.2,1.5,2.3,0.2,0.4,0.477326969,0
b'Luol Deng',14.3,1.9,6.6,0.6,0.9,0.520378457,1
b'Malik Allen',9.6,0.7,5.3,1,0.5,0.454545455,0
b'Manu Gin\xc3\xb3bili',12.8,3.8,4.5,0.2,1.8,0.537092984,1
b'Marc Gasol',14.6,2.4,9.3,1.6,1,0.619904891,1
b'Marcin Gortat',3.8,0.2,4.5,0.8,0.3,0.574365175,0
b'Marco Belinelli',8.9,2.1,1.7,0,0.9,0.554309915,0
b'Marcus Banks',4.6,1.9,1.6,0.2,0.8,0.525114155,0
b'Marcus Haislip',3,0.1,1.7,0.4,0.2,0.536480687,0
b'Marcus Morris',7.7,0.8,3.6,0.3,0.6,0.516085791,0
b'Marcus Thornton',12.8,1.8,3.5,0.1,0.9,0.524590164,0
b'Mario Chalmers',7.1,3.4,1.8,0.2,1.2,0.517492711,0
b'Mark Blount',2.1,0.2,1.9,0.4,0.4,0.511695906,0
b'Mark Madsen',2.8,0.7,2.7,0.2,0.3,0.483425414,0
b'Markieff Morris',8.2,1.3,4.8,0.8,0.9,0.473441109,0
b'Marquis Daniels',9.1,2.1,3.6,0.2,1.4,0.485695986,0
b'Marreese Speights',8.6,0.6,4.1,0.5,0.5,0.523623965,0
b'MarShon Brooks',5.4,1,1.4,0.2,0.5,0.522041763,0
b'Martell Webster',7,0.6,2.9,0.2,0.4,0.522076372,0
b'Marvin Williams',13.1,1.9,5.3,0.5,0.8,0.511558888,0
b'Matt Barnes',3.8,1.3,3.1,0.2,0.7,0.466601179,0
b'Matt Bonner',7.5,0.7,3.6,0.4,0.6,0.582298137,0
